geocode-glib 3.26.4-3
geocode-glib-common 3.26.4-3
geoip 1.6.12-2
geoip-database 20230519-1
gettext 0.21.1-5
gfbgraph 0.2.5-1
ghc 9.0.2-3
ghc-libs 9.0.2-3
ghostscript 10.01.1-1
giflib 5.2.1-2
girara 0.4.0-1
git 2.41.0-1
glances 3.4.0.3-1
glib-networking 1:2.76.0-1
glib2 2.76.3-1
glibc 2.37-3
glibmm 2.66.6-1
globalprotect-openconnect 1.4.9-1
glslang 12.1.0-2
glu 9.0.2-3
gmime3 3.2.13-2
gmp 6.2.1-2
gnome-bluetooth 3.34.5-4
gnome-epub-thumbnailer 1.7-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-online-accounts 3.48.0-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-video-effects 1:0.5.0+r18+g5f4c801-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnutls 3.8.0-1
go 2:1.20.4-2
go-tools 4:0.9.1-1
gobject-introspection-runtime 1.76.1-3
google-chrome 113.0.5672.92-1
gperftools 2.10-1
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.22.4-10
grub 2:2.06.r499.ge67a551a4-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.1-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.3-4
gst-plugin-gtk 1.22.3-4
gst-plugin-pipewire 1:0.3.71-2
gst-plugins-bad 1.22.3-4
gst-plugins-bad-libs 1.22.3-4
gst-plugins-base 1.22.3-4
gst-plugins-base-libs 1.22.3-4
gst-plugins-good 1.22.3-4
gst-plugins-ugly 1.22.3-4
gstreamer 1.22.3-4
gthumb 3.12.2-5
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.10.3-4
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.10.3-4
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
guake 3.10-1
guile 3.0.9-1
gumbo-parser 0.10.1-2
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gutenprint 5.3.4-2
gvfs 1.50.4-3
gzip 1.12-2
harfbuzz 7.3.0-1
harfbuzz-icu 7.3.0-1
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-cereal 0.5.8.3-1
haskell-extensible-exceptions 0.1.1.4-36
haskell-monad-loops 0.4.3-25
haskell-netlink 1.1.1.0-14
haskell-old-locale 1.0.0.7-30
haskell-parsec-numbers 0.1.0-18
haskell-pretty-hex 1.1-9
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-setlocale 1.0.0.10-4
haskell-timezone-olson 0.2.1-1
haskell-timezone-series 0.1.13-1
haveged 1.9.18-1
hddtemp 0.3.beta15.53-3
hdparm 9.65-1
hey 0.1.4-5
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
hplip 1:3.23.3-3
htop 3.2.2-1
http-parser 2.9.4-1
httpie 3.2.1-4
hwdata 0.371-1
hwdetect 2023.02.20-1
hwinfo 22.2-2
hwloc 2.9.1-1
hyphen 2.8.8-5
i3-wm 4.22-4
iana-etc 20230405-1
icon-naming-utils 0.8.90-5
icu 72.1-2
iftop 1.0pre4-5
ijs 0.35-5
imagemagick 7.1.1.11-2
imath 3.1.9-1
imlib2 1.11.1-1
indicator-sound-switcher 2.3.9-1
inetutils 2.4-1
iniparser 4.1-4
intltool 0.51.0-6
inxi 3.3.27.1-1
iotop 0.6-10
iproute2 6.3.0-2
iptables-nft 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
iw 5.19-2
iwd 2.5-1
jansson 2.14-2
jasper 4.0.0-1
java-runtime-common 3-5
jbig2dec 0.19-1
jemalloc 1:5.3.0-2
jfsutils 1.1.15-8
jgmenu 4.4.1-1
jq 1.6-4
jre8-openjdk 8.372.u07-1
jre8-openjdk-headless 8.372.u07-1
js91 91.13.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kafkactl 3.1.0-1
kbd 2.5.1-2
keychain 2.8.5-2
keyutils 1.6.3-2
kguiaddons 5.106.0-1
kitty 0.28.1-2
kitty-shell-integration 0.28.1-2
kitty-terminfo 0.28.1-2
kmod 30-3
krb5 1.20.1-1
kubectl 1.27.2-1
kubectx 0.9.4-1
l-smash 2.14.5-3
lame 3.100-4
lcms2 2.15-1
ldns 1.8.3-2
less 1:633-1
lib32-brotli 1.0.9-5
lib32-bzip2 1.0.8-3
lib32-curl 8.1.1-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-gcc-libs 13.1.1-1
lib32-glibc 2.37-3
lib32-icu 72.1-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libdrm 2.4.115-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libglvnd 1.6.0-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.4-1
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.10.0-2
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libx11 1.8.4-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.15-2
lib32-libxcrypt 4.4.33-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.10.4-4
lib32-libxshmfence 1.3.2-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 15.0.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 23.1.0-1
